sku,product_name,type,features,series,application,connection,thread,gender,material,color,sizes_raw,diameter_mm,diameter2_mm,diameter3_mm,angle_deg,inch,length_mm,wall_mm,sdr,sn_class,leftover,image_file,image_count,page_url
8160002100,אוגן לקיר גבס,אוגן,,,,,,,,,,,,,,,,,,,לקיר גבס,8160002100.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%95%D7%92%D7%9F-%D7%9C%D7%A7%D7%99%D7%A8-%D7%92%D7%91%D7%A1/
98414206,אוגן פוליפרופילן / אוגן פלדה מצופה PP בקוטר 50,אוגן,מצופה PP,,,,,,PP,,50,50,,,,,,,,,אוגן פלדה,98414206.jpg,4,https://www.huliot.co.il/product/%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%95%D7%9C%D7%99%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C%D7%9F-%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%9C%D7%93%D7%94-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-pp-%D7%91%D7%A7%D7%95-3/
98414207,אוגן פוליפרופילן / אוגן פלדה מצופה PP בקוטר 63,אוגן,מצופה PP,,,,,,PP,,63,63,,,,,,,,,אוגן פלדה,98414207.jpg,4,https://www.huliot.co.il/product/%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%95%D7%9C%D7%99%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C%D7%9F-%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%9C%D7%93%D7%94-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-pp-%D7%91%D7%A7%D7%95-4/
98414208,אוגן פוליפרופילן / אוגן פלדה מצופה PP בקוטר 75,אוגן,מצופה PP,,,,,,PP,,75,75,,,,,,,,,אוגן פלדה,98414208.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%95%D7%9C%D7%99%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C%D7%9F-%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%9C%D7%93%D7%94-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-pp-%D7%91%D7%A7%D7%95-5/
98414209,אוגן פוליפרופילן / אוגן פלדה מצופה PP בקוטר 90,אוגן,מצופה PP,,,,,,PP,,90,90,,,,,,,,,אוגן פלדה,98414209.jpg,4,https://www.huliot.co.il/product/%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%95%D7%9C%D7%99%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C%D7%9F-%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%9C%D7%93%D7%94-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-pp-%D7%91%D7%A7%D7%95-6/
98414210,אוגן פוליפרופילן / אוגן פלדה מצופה PP בקוטר 110,אוגן,מצופה PP,,,,,,PP,,110,110,,,,,,,,,אוגן פלדה,98414210.jpg,4,https://www.huliot.co.il/product/%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%95%D7%9C%D7%99%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C%D7%9F-%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%9C%D7%93%D7%94-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-pp-%D7%91%D7%A7%D7%95-7/
98414211,אוגן פוליפרופילן / אוגן פלדה מצופה PP בקוטר 125,אוגן,מצופה PP,,,,,,PP,,125,125,,,,,,,,,אוגן פלדה,98414211.jpg,4,https://www.huliot.co.il/product/%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%95%D7%9C%D7%99%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C%D7%9F-%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%9C%D7%93%D7%94-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-pp-%D7%91%D7%A7%D7%95-8/
98414213,אוגן פלדה מצופה פ.פ 160,אוגן,,,,,,,פלדה מצופה,,160,160,,,,,,,,,פ פ,98414213.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%9C%D7%93%D7%94-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-%D7%A4-%D7%A4-160/
98414215,אוגן פלדה מצופה פ.פ 200,אוגן,,,,,,,פלדה מצופה,,200,200,,,,,,,,,פ פ,98414215.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%9C%D7%93%D7%94-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-%D7%A4-%D7%A4-200/
98415738,אוגן פלדה מצופה פ.פ 250,אוגן,,,,,,,פלדה מצופה,,250,250,,,,,,,,,פ פ,98415738.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%92%D7%9F-%D7%A4%D7%9C%D7%93%D7%94-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-%D7%A4-%D7%A4-250/
